Level,Date and Time,Source,Event ID,Task Category
Information,1/31/2024 4:08:27 PM,Netwtw10,7025,None,7025 - Dump after return from D3 before cmd 
Information,1/31/2024 4:07:23 PM,Netwtw10,7026,None,7026 - Dump after return from D3 after cmd
Information,1/31/2024 4:07:23 PM,Netwtw10,7025,None,7025 - Dump after return from D3 before cmd 
Information,1/31/2024 4:07:10 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 4 to 5.

Reason SessionUnlock 

BootId: 682"
Information,1/31/2024 4:07:08 PM,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Idle Timeout."
Information,1/31/2024 4:07:08 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 3 to 4.

Reason SessionUnlock 

BootId: 682"
Information,1/31/2024 4:07:04 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Information,1/31/2024 4:03:09 PM,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Information,1/31/2024 4:03:07 PM,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,1/31/2024 4:01:29 PM,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,1/31/2024 4:01:29 PM,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Information,1/31/2024 3:54:04 PM,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,1/31/2024 3:54:04 PM,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Information,1/31/2024 3:52:18 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,1/31/2024 3:52:06 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.msftconnecttest.com timed out after none of the configured DNS servers responded. Client PID 1972.
Information,1/31/2024 3:51:53 PM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,1/31/2024 3:51:53 PM,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,1/31/2024 3:51:53 PM,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Warning,1/31/2024 3:50:40 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name extension.femetrics.grammarly.io timed out after none of the configured DNS servers responded. Client PID 18148.
Information,1/31/2024 3:50:36 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,1/31/2024 3:50:27 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.msftconnecttest.com timed out after none of the configured DNS servers responded. Client PID 1972.
Warning,1/31/2024 3:49:47 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name ncc.avast.com timed out after none of the configured DNS servers responded. Client PID 5032.
Warning,1/31/2024 3:49:09 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name uib.ff.avast.com timed out after none of the configured DNS servers responded. Client PID 18148.
Information,1/31/2024 3:48:22 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 3:46:53 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 3:46:48 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 3:46:47 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 3:46:47 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 3:46:47 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,1/31/2024 3:46:45 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.msftconnecttest.com timed out after none of the configured DNS servers responded. Client PID 1972.
Information,1/31/2024 3:46:44 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 3:46:43 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 3:46:43 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 3:46:43 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,1/31/2024 3:46:06 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name edge.microsoft.com timed out after none of the configured DNS servers responded. Client PID 18148.
Information,1/31/2024 3:44:57 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 3:44:41 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 3:44:32 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 3:44:23 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 3:44:15 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 3:40:54 PM,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,1/31/2024 3:40:54 PM,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Warning,1/31/2024 3:40:11 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name chrome.cloudflare-dns.com timed out after none of the configured DNS servers responded. Client PID 13132.
Information,1/31/2024 3:39:31 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,1/31/2024 3:38:39 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name ncc.avast.com timed out after none of the configured DNS servers responded. Client PID 4608.
Information,1/31/2024 3:38:26 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Packages\Microsoft.WindowsTerminal_8wekyb3d8bbwe\S-1-5-21-1261234079-646169012-1463220547-1002\SystemAppData\Helium\Cache\24716aef7915c612_COM15.dat was cleared updating 1 keys and creating 1 modified pages.
Information,1/31/2024 3:38:10 PM,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,1/31/2024 3:38:05 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,1/31/2024 3:37:40 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name assets.msn.com timed out after none of the configured DNS servers responded. Client PID 2448.
Information,1/31/2024 3:36:59 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
